"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Eight Below"	"0397313"	81593527	40000000	2.039838175	"2006-02-17"
"Payback"	"0120784"	81517441	90000000	0.9057493444444444	"1999-02-05"
"The Talented Mr. Ripley"	"0134119"	81292135	40000000	2.032303375	"1999-12-25"
21	"0478087"	81159365	35000000	2.318839	"2008-03-28"
"While You Were Sleeping"	"0114924"	81057016	17000000	4.768059764705883	"1995-04-21"
"Another 48 Hrs."	"0099044"	80820000	38000000	2.126842105263158	"1990-06-08"
"Moonstruck"	"0093565"	80640528	15000000	5.3760352	"1988-01-15"
"Eat Pray Love"	"0879870"	80574010	60000000	1.3429001666666667	"2010-08-13"
"Fried Green Tomatoes"	"0101921"	80100000	11000000	7.281818181818182	"1992-01-24"
"Disturbia"	"0486822"	80050171	20000000	4.00250855	"2007-04-13"
"Dear John"	"0989757"	80014842	25000000	3.20059368	"2010-02-05"
"Footloose"	"0087277"	80000000	8200000	9.75609756097561	"1984-02-17"
"The Ten Commandments"	"0049833"	80000000	13282712	6.0228664146297834	"1956-10-05"
"Knowing"	"0448011"	79948113	50000000	1.59896226	"2009-03-20"
"Coal Miner's Daughter"	"0080549"	79900000	15000000	5.32666666667	"1980-03-07"
"War Horse"	1568911	79883359	66000000	1.2103539242424242	"2011-12-25"
"Earthquake"	"0071455"	79700000	7000000	11.385714285714286	"1974-11-15"
"Hannah Montana: The Movie"	1114677	79566871	30000000	2.652229033333333	"2009-04-10"
"The Day the Earth Stood Still"	"0970416"	79363785	80000000	0.9920473125	"2008-12-12"
"Apocalypse Now"	"0078788"	78800000	31500000	2.5015873015873016	"1979-08-15"
"City of Angels"	"0120632"	78745923	55000000	1.4317440545454545	"1998-04-10"
"The English Patient"	"0116209"	78651430	27000000	2.913015925925926	"1996-12-06"
"A.I. Artificial Intelligence"	"0212720"	78616689	100000000	0.78616689	"2001-06-29"
"Cocktail"	"0094889"	78222753	20000000	3.91113765	"1988-07-29"
"We Were Soldiers"	"0277434"	78120196	75000000	1.0416026133333334	"2002-03-01"
"The Monuments Men"	2177771	78031620	70000000	1.1147374285714287	"2014-02-07"
"Backdraft"	"0101393"	77868585	75000000	1.0382478	"1991-05-24"
"Man on Fire"	"0328107"	77862546	70000000	1.1123220857142857	"2004-04-23"
"Free Willy"	"0106965"	77698625	20000000	3.88493125	"1993-07-16"
"Gangs of New York"	"0217505"	77679638	100000000	0.77679638	"2002-12-20"
