"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"The Italian Job"	"0317740"	106126012	60000000	1.7687668666666667	"2003-05-30"
"Every Which Way But Loose"	"0077523"	105918400	5000000	21.18368	"1978-12-20"
"George of the Jungle"	"0119190"	105263257	55000000	1.9138774	"1997-07-16"
"Robin Hood"	"0955308"	105219735	200000000	0.526098675	"2010-05-14"
"Journey 2: The Mysterious Island"	1397514	103812241	79000000	1.314079	"2012-02-10"
"Dick Tracy"	"0099422"	103738726	47000000	2.2072069361702127	"1990-06-15"
"Independence Day: Resurgence"	1628841	103137295	165000000	0.6250745151515151	"2016-06-24"
"The Expendables"	1320253	102981571	80000000	1.2872696375	"2010-08-13"
"The Maze Runner"	1790864	102413606	34000000	3.012164882352941	"2014-09-19"
"In the Line of Fire"	"0107206"	102314283	40000000	2.557857075	"1993-07-09"
"The Mummy: Tomb of the Dragon Emperor"	"0859163"	102176165	145000000	0.7046632068965517	"2008-08-01"
"Pacific Rim"	1663662	101785482	190000000	0.5357130631578947	"2013-07-12"
"Journey to the Center of the Earth"	"0373051"	101702060	45000000	2.2600457777777776	"2008-07-11"
"Gone in Sixty Seconds"	"0187078"	101643008	90000000	1.1293667555555555	"2000-06-09"
"Maverick"	"0110478"	101631272	75000000	1.3550836266666666	"1994-05-20"
"The Equalizer"	"0455944"	101530738	55000000	1.8460134181818182	"2014-09-26"
"Eraser"	"0116213"	101228120	100000000	1.0122812	"1996-06-21"
"Noah"	1959490	101160529	125000000	0.809284232	"2014-03-28"
"Eagle Eye"	1059786	101111837	80000000	1.2638979625	"2008-09-26"
"Con Air"	"0118880"	101087161	75000000	1.3478288133333334	"1997-06-06"
"Charlie's Angels: Full Throttle"	"0305357"	100685880	120000000	0.839049	"2003-06-27"
"Airport"	"0065377"	100489150	10000000	10.048915	"1970-03-05"
"Cowboys & Aliens"	"0409847"	100215116	163000000	0.6148166625766871	"2011-07-29"
"Jumanji"	"0113497"	100200000	65000000	1.5415384615384615	"1995-12-15"
"Edge of Tomorrow"	1631867	100189501	178000000	0.5628623651685394	"2014-06-06"
"You Don't Mess with the Zohan"	"0960144"	100018837	90000000	1.111320411111111	"2008-06-06"
"Die Hard with a Vengeance"	"0112864"	100012500	90000000	1.11125	"1995-05-19"
"Olympus Has Fallen"	2302755	98895417	70000000	1.4127916714285715	"2013-03-22"
"The Green Hornet"	"0990407"	98780042	120000000	0.8231670166666667	"2011-01-14"
"Inspector Gadget"	"0141369"	97360069	90000000	1.0817785444444445	"1999-07-23"
"The Book of Eli"	1037705	94822707	80000000	1.1852838375	"2010-01-15"
"10,000 BC"	"0443649"	94770548	105000000	0.9025766476190477	"2008-03-07"
"Master and Commander: The Far Side of the World"	"0311113"	93926386	150000000	0.6261759066666667	"2003-11-14"
"The Mask of Zorro"	"0120746"	93771072	65000000	1.4426318769230768	"1998-07-17"
"The Fighter"	"0964517"	93571803	25000000	3.74287212	"2010-12-17"
"Tomorrowland"	1964418	93417865	190000000	0.49167297368421053	"2015-05-22"
