"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"A Nightmare on Elm Street 5: The Dream Child"	"0097981"	22168359	6000000	3.6947265	"1989-08-11"
"Darkness"	"0273517"	22160085	10600000	2.0905740566037734	"2004-12-25"
"Mary Shelley's Frankenstein"	"0109836"	22024639	45000000	0.4894364222222222	"1994-11-04"
"Urban Legends: Final Cut"	"0192731"	21468807	14000000	1.5334862142857142	"2000-09-22"
"The Darkest Hour"	1093357	21426805	30000000	0.7142268333333334	"2011-12-25"
"Psycho"	"0155975"	21380220	60000000	0.356337	"1998-12-04"
"The Fog"	"0080749"	21378000	1000000	21.378	"1980-02-08"
"Raising Cain"	"0105217"	21370057	12000000	1.7808380833333333	"1992-08-07"
"Friday the 13th: A New Beginning"	"0089173"	21300000	2200000	9.681818181818182	"1985-03-22"
"Christine"	"0085333"	21200000	9700000	2.185567010309278	"1983-12-09"
"Cujo"	"0085382"	21200000	5000000	4.24	"1983-08-12"
"As Above, So Below"	2870612	21197315	5000000	4.239463	"2014-08-29"
"Cabin Fever"	"0303816"	21156247	1500000	14.104164666666666	"2003-09-12"
"Stir of Echoes"	"0164181"	21133087	12000000	1.7610905833333332	"1999-09-10"
"Tales from the Crypt: Demon Knight"	"0114608"	21088568	13000000	1.6221975384615384	"1995-01-13"
"The Black Cauldron"	"0088814"	21000000	44000000	0.4772727272727273	"1985-07-24"
"The Hills Have Eyes II"	"0800069"	20801344	15000000	1.3867562666666666	"2007-03-23"
"Jaws: The Revenge"	"0093300"	20763013	23000000	0.9027396956521739	"1987-07-17"
"Blair Witch"	1540011	20747013	5000000	4.1494026	"2016-09-16"
"Land of the Dead"	"0418819"	20433940	15000000	1.3622626666666666	"2005-06-24"
"Valentine"	"0242998"	20384136	10000000	2.0384136	"2001-02-02"
"Pulse"	"0454919"	20259297	20000000	1.01296485	"2006-08-11"
"Vampires"	"0120877"	20241395	20000000	1.01206975	"1998-10-30"
"The Fly II"	"0097368"	20021322	0	0	"1989-02-10"
